name,description,category,url,scraped_at
Faros AI Assistant,"Get answers from Jira, GitHub and other engineering systems without leaving your IDE",ai-assisted,https://github.com/marketplace/faros-ai-assistant,2025-10-22T05:40:21.575703
Figstack,Your intelligent reviewing companion,ai-assisted,https://github.com/marketplace/figstack,2025-10-22T05:40:21.744425
DepsHub App,Update all your dependencies on autopilot,ai-assisted,https://github.com/marketplace/depshub-app,2025-10-22T05:40:21.918479
Inspector Monitoring AI,Bug fix proposals that automatically fix your application errors,ai-assisted,https://github.com/marketplace/inspector-monitoring-ai,2025-10-22T05:40:22.117678
The CTRL Bot,"A general-purpose GitHub Bot, working around *your* scripts",ai-assisted,https://github.com/marketplace/the-ctrl-bot,2025-10-22T05:40:22.288435
Oki AI Integration,Oki AI reads your repos to help you understand what your team is working on and how your projects are tracking,ai-assisted,https://github.com/marketplace/oki-ai-integration,2025-10-22T05:40:22.463085
Label Bot,Labels your PR with a Size and Kind using AI,ai-assisted,https://github.com/marketplace/label-bot,2025-10-22T05:40:22.622210
Griptape Cloud,Deploy your AI python code with Griptape Cloud,ai-assisted,https://github.com/marketplace/griptape-cloud,2025-10-22T05:40:22.787566
MonocleAI,"An AI application which detects, reports and fixes security bugs in your code",ai-assisted,https://github.com/marketplace/monocleai,2025-10-22T05:40:22.858640
Follow Your Tribe,Coding styles of popular open source code for your project,ai-assisted,https://github.com/marketplace/follow-your-tribe,2025-10-22T05:40:23.007483
Clemsbot App,A GitHub Assistant bot,ai-assisted,https://github.com/marketplace/clemsbot-app,2025-10-22T05:40:23.178574
Adaptly,Copilot for dependency updates,ai-assisted,https://github.com/marketplace/adaptly,2025-10-22T05:40:23.294826
Codara AI Code Review,Decrease Bugs and Ship Code Quicker,ai-assisted,https://github.com/marketplace/codara-ai-code-review,2025-10-22T05:40:23.480552
Meeshkan,"Meeshkan automatically writes, executes, and reports on a collection of tests to squash bugs and improve your code",ai-assisted,https://github.com/marketplace/meeshkan,2025-10-22T05:40:23.654555
SoftwareTesting.ai | Intelligent Code Coverage | AI Software Testing & Unit Testing,The code quality platform that identifies coverage gaps and suggests how to resolve them,ai-assisted,https://github.com/marketplace/softwaretesting-ai-intelligent-code-coverage,2025-10-22T05:40:23.824102
ZeoBot,A Probot App that automates your repositories,ai-assisted,https://github.com/marketplace/zeobot,2025-10-22T05:40:25.277811
Benchify (YC S24),Next-gen automated software testing for Python,ai-assisted,https://github.com/marketplace/benchify-yc-s24,2025-10-22T05:40:25.425534
Cody: Your AI Code Review Assistant,"""Cody: AI-driven code review that enhances accuracy and speeds up approvals.""",ai-assisted,https://github.com/marketplace/cody-your-ai-code-review-assistant,2025-10-22T05:40:25.598508
GitRev Game,"Turn code reviews into quests with GitRev Game! Earn points, level up, and bag badges. Code smarter, faster, and have fun",ai-assisted,https://github.com/marketplace/gitrev-game,2025-10-22T05:40:25.767395
Evaluate GitHub Copilot,"How do you measure the impact? Dashboards to track adoption, usage, and productivity outcomes",ai-assisted,https://github.com/marketplace/faros-ai,2025-10-22T05:40:25.944885
Open Buckets,OpenBuckets.io is a security tool for identifying vulnerabilities in cloud storage buckets across various platform,ai-assisted,https://github.com/marketplace/open-buckets,2025-10-22T05:40:26.113638
Decca-Maven,"A bot, which diagnoses dependency conflict issues for Maven-Java projects (http://www.watchman-pypi.com/decca)",ai-assisted,https://github.com/marketplace/decca-maven,2025-10-22T05:40:26.286927
PDF Automation Server for Windows,PDF Automation Server is a modular server product that provides a rich set of PDF processing functions,ai-assisted,https://github.com/marketplace/pdf-automation-server-for-windows,2025-10-22T05:40:26.463322
Kebechet,"I'm Kebechet bot, goddess of freshness - I will keep your source code fresh and up-to-date",ai-assisted,https://github.com/marketplace/khebhut,2025-10-22T05:40:26.643203
Gooroo.dev: Instant Code Review,"Instant Code Review and fixes. Security, Performance, Typos, Mistakes, Best Practices",ai-assisted,https://github.com/marketplace/gooroo-dev-app,2025-10-22T05:40:26.821179
Blogcop,Manage the outdated articles from your Jekyll blog,ai-assisted,https://github.com/marketplace/outdated-article,2025-10-22T05:40:27.028541
GossipMessageApp,"Gossip is a encrypted message app, so we dont have our app in any App store, as we don't want to compromise on your privacy",ai-assisted,https://github.com/marketplace/gossipmessageapp,2025-10-22T05:40:27.209457
PR Pilot AI,A text-to-task platform for GitHub developers to trigger AI-driven development tasks in their repositories,ai-assisted,https://github.com/marketplace/pr-pilot-ai,2025-10-22T05:40:27.322608
AIJS - Browser IDE,"The most versatile browser based code editor, designed for creative coders",ai-assisted,https://github.com/marketplace/aijs-browser-ide,2025-10-22T05:40:27.500555
Copilot Metrics Viewer,Display Copilot usage metrics (beta),ai-assisted,https://github.com/marketplace/copilot-metrics-viewer,2025-10-22T05:40:27.681555
Findr AI,Perplexity for workplace apps,ai-assisted,https://github.com/marketplace/findr-ai,2025-10-22T05:40:27.809339
Commet AI,Automated code documentation,ai-assisted,https://github.com/marketplace/commet-ai,2025-10-22T05:40:27.896574
D7.8.5,API Install TWILIO Communication,ai-assisted,https://github.com/marketplace/d7-8-5,2025-10-22T05:40:28.064700
Evergreen Docs,Keep your documentation green and fresh,ai-assisted,https://github.com/marketplace/evergreen-docs,2025-10-22T05:40:28.248997
AI Issue Labeler,Bot that labels your issues for you based on your past labelling decisions,ai-assisted,https://github.com/marketplace/coder-labeler,2025-10-22T05:40:28.423425
stivbot,The Business Planning Bot,ai-assisted,https://github.com/marketplace/stivbot,2025-10-22T05:40:30.024299
Stitchflow for GitHub,See and act on all your IT data in one place,ai-assisted,https://github.com/marketplace/stitchflow-for-github,2025-10-22T05:40:30.199038
Octomind Execute,GA Action to trigger Octomind UI tests from your CI. We will report test results directly to your PR comments,ai-assisted,https://github.com/marketplace/octomind-execute,2025-10-22T05:40:30.386859
PictuBot,GitHub app for perceptual image optimization,ai-assisted,https://github.com/marketplace/pictubot,2025-10-22T05:40:30.573519
Integration.app,Connect your GitHub with a growing number of apps,ai-assisted,https://github.com/marketplace/integration-app,2025-10-22T05:40:30.747746
Gagam AI,Get AI-powered issue insights on Github with Gagam - the OpenAI integration for faster solutions,ai-assisted,https://github.com/marketplace/gagam-ai,2025-10-22T05:40:30.926292
Assembly Git,Get context on what your code does and why,ai-assisted,https://github.com/marketplace/assembly-git,2025-10-22T05:40:31.103076
Code Vault Sync,This app makes it easier to sync the contents of a repository into a code vault on The Code Registry,ai-assisted,https://github.com/marketplace/code-vault-sync,2025-10-22T05:40:31.278329
PerfAI,AI-driven Active Performance. Deliver High-Performance APIs and achieve 3x engagement and upsell,ai-assisted,https://github.com/marketplace/perfai-app,2025-10-22T05:40:31.411876
Autohive AI,"Automate GitHub repo management: create, update, and sync issues, PRs, branches, workflows, and more from your workspace",ai-assisted,https://github.com/marketplace/autohive-ai,2025-10-22T05:40:31.543896
EasyMemo,A useful and small application as a lightweight editor and an easy memo that is very user-friendly,ai-assisted,https://github.com/marketplace/easymemo,2025-10-22T05:40:31.604066
Zumbro Bot,"Zumbro is a DevOps automation tool that helps your team define, apply, and enforce engineering standards",ai-assisted,https://github.com/marketplace/zumbro-bot,2025-10-22T05:40:31.659898
Reviewabot,Your AI code review assistant,ai-assisted,https://github.com/marketplace/reviewabot,2025-10-22T05:40:31.714594
Engi Software Agents,Install to Enable GitHub Integration with Engi Software,ai-assisted,https://github.com/marketplace/engi-github-app,2025-10-22T05:40:31.769975
Launchable app,Launchable is a test failure intelligence platform that makes your test failure investigations easier and faster,ai-assisted,https://github.com/marketplace/launchable-app,2025-10-22T05:40:31.823483
Astronuts,"Automated your pull request code reviews, line-by-line code suggestions,, static code analysis and walkthrough summary",ai-assisted,https://github.com/marketplace/astronuts-app,2025-10-22T05:40:31.876551
Cottage Freelancing,Gig economy for React/Typescript engineers,ai-assisted,https://github.com/marketplace/cottage-freelancing,2025-10-22T05:40:31.928565
automation-app-bot,All the missing GitHub automation,ai-assisted,https://github.com/marketplace/automation-app-bot,2025-10-22T05:40:31.984710
PDF Automation Server for Linux,PDF Automation Server is a modular server product that provides a rich set of PDF processing functions,ai-assisted,https://github.com/marketplace/pdf-automation-server-for-linux,2025-10-22T05:40:32.039058
Trapi-ai,Automate your Travel API Integrations,ai-assisted,https://github.com/marketplace/trapi-ai,2025-10-22T05:40:32.096501
Devzery,Self-Driving AI Agent for API Functional Regression Testing,ai-assisted,https://github.com/marketplace/devzery,2025-10-22T05:40:33.462280
Heeler Application Security Platform,"Runtime fixability-first SCA: know what’s exploitable, what’s safe to upgrade, and auto generate PRs for fixes",ai-assisted,https://github.com/marketplace/heeler-application-security-platform,2025-10-22T05:40:33.601234
InstaPR,AI-powered Instant PR Reviews: Boost Code Quality & Merge Faster,ai-assisted,https://github.com/marketplace/instapr,2025-10-22T05:40:33.771272
CloudAEye DevProd,"AI companion for test failure analysis, code review and Q&A",ai-assisted,https://github.com/marketplace/cloudaeye-devprod,2025-10-22T05:40:33.908954
Foundational Data,"Build data pipelines with confidence. You build, we'll validate and find your issues",ai-assisted,https://github.com/marketplace/foundational-data,2025-10-22T05:40:34.046580
SignNow,"Build, customize, and troubleshoot eSignature integrations with context-aware AI guidance",ai-assisted,https://github.com/marketplace/signnow,2025-10-22T05:40:34.221746
Translatabot,Automate localization in any language with AI-powered PRs,ai-assisted,https://github.com/marketplace/translatabot,2025-10-22T05:40:34.394906
Current + Github,Automatically post your pull requests to Current,ai-assisted,https://github.com/marketplace/current-github,2025-10-22T05:40:34.567285
Bloomfilter Platform,"Increase The Transparency, Predictability, and Efficiency of Software Development with AI Driven Process Mining",ai-assisted,https://github.com/marketplace/bloomfilter-platform,2025-10-22T05:40:34.732954
ubiquity-os,AI manager for remote teams,ai-assisted,https://github.com/marketplace/ubiquity-os,2025-10-22T05:40:34.901706
TagDebt bot,"Identify technical debt in issues using ML, and automatically assign labels to facilitate issue management",ai-assisted,https://github.com/marketplace/tagdebt-bot,2025-10-22T05:40:35.073547
RepoBird,Mention @RepobirdBot on any GitHub issue or PR—an AI engineer fixes the issue and submits or updates the pull request,ai-assisted,https://github.com/marketplace/repobird,2025-10-22T05:40:35.145752
Exo AI - Writes tests using LLMs for all files when a PR is opened,Exo AI - AI generated tests for all,ai-assisted,https://github.com/marketplace/exo-github-app-uses-llms-to-write-a-test-for-all-files-when-a-pr-is-opened,2025-10-22T05:40:35.275546
VelocityAI | Market Standard,"An AI coworker, not just a copilot",ai-assisted,https://github.com/marketplace/velocityai-market-standard,2025-10-22T05:40:35.424748
theissue.ai,Enhancing Issue reporting with LLM and Agents,ai-assisted,https://github.com/marketplace/theissue-ai,2025-10-22T05:40:35.483747
Squadron AI,"AI assisted code reviews with in-depth context, real-time chat and issue analysis",ai-assisted,https://github.com/marketplace/squadron-ai,2025-10-22T05:40:35.559679
Dashgen Web App,"Connect with top AI models using your own API keys for secure, flexible, and cost-effective integration",ai-assisted,https://github.com/marketplace/dashgen-web-app,2025-10-22T05:40:35.733736
Gomboc.AI Community,Automatically fix infrastructure-as-code (IaC) security misconfigurations,ai-assisted,https://github.com/marketplace/gomboc-ai-community,2025-10-22T05:40:35.912189
watchflow,GitHub native custom branch and deployment protection rules,ai-assisted,https://github.com/marketplace/watchflow,2025-10-22T05:40:36.082363
IrisAgent,Scale community support on GitHub with AI-based issue resolution,ai-assisted,https://github.com/marketplace/irisagent,2025-10-22T05:40:36.250200
JENRES,"Empowering developers to focus on what matters, JENRES tidies, tests and enhances your code directly from GitHub",ai-assisted,https://github.com/marketplace/jenres,2025-10-22T05:40:37.818029
AutoCommit AI,Let your code speak for itself,ai-assisted,https://github.com/marketplace/autocommit-ai,2025-10-22T05:40:37.890374
Proton,Address PR reviews automatically,ai-assisted,https://github.com/marketplace/doctor-pr,2025-10-22T05:40:38.040448
SDP Aviator,Copilot extension that facilitates communication between GitHub Copilot Chat and the OpenText Core Software Delivery Platform,ai-assisted,https://github.com/marketplace/sdp-aviator,2025-10-22T05:40:38.208403
Re-Facto,"Worry Less, Code More",ai-assisted,https://github.com/marketplace/re-facto,2025-10-22T05:40:38.382002
torvalds.dev,Torvalds is an AI-powered GitHub maintenance assistant,ai-assisted,https://github.com/marketplace/torvalds-dev,2025-10-22T05:40:38.561921
Rewatch for GitHub,"Create, link, and sync GitHub issues with Rewatch videos, action items, and comment threads",ai-assisted,https://github.com/marketplace/rewatch-for-github,2025-10-22T05:40:38.742419
wellcode.ai,"AI-powered GitHub app providing metrics, insights, and rewards for developers directly within their PR workflow",ai-assisted,https://github.com/marketplace/wellcode-ai,2025-10-22T05:40:38.895364
Nudge Bot,Nudge: Accelerating Overdue Pull Requests toward Completion,ai-assisted,https://github.com/marketplace/nudge-bot,2025-10-22T05:40:38.997080
Darkest-PR,GitHub app/bot for responding to actions and events in your repository using contextual quotes from Darkest Dungeon,ai-assisted,https://github.com/marketplace/darkest-pr,2025-10-22T05:40:39.152140
MyDayPranav,Get all github details in a single place,ai-assisted,https://github.com/marketplace/mydaypranav,2025-10-22T05:40:39.301620
Aude for GitHub,Add GitHub to Aude’s Engineering Management Insights to understand code contributions and collaboration,ai-assisted,https://github.com/marketplace/aude-for-github,2025-10-22T05:40:39.433739
CRUZ Code,Code performance reviews by AI,ai-assisted,https://github.com/marketplace/cruz-code,2025-10-22T05:40:39.587684
prplex,Accelerate your code reviews and find more defects using cutting-edge AI to identify potential problems in your code,ai-assisted,https://github.com/marketplace/prplex,2025-10-22T05:40:39.726619
Refactory - PR Assistant,Convert your PR into a masterpiece,ai-assisted,https://github.com/marketplace/refactory-analyze-pr-refactor-functions-write-tests-create-documentations,2025-10-22T05:40:39.906724
Voltage-Manager,Voltage is an easy to use package manager,ai-assisted,https://github.com/marketplace/voltage-manager,2025-10-22T05:40:40.073480
Commit Clarity,Developer productivity enhanced,ai-assisted,https://github.com/marketplace/commit-clarity,2025-10-22T05:40:40.247829
PDF Automation Server for macOS,PDF Automation Server is a modular server product that provides a rich set of PDF processing functions,ai-assisted,https://github.com/marketplace/pdf-automation-server-for-macos,2025-10-22T05:40:40.416753
Saldor,AI coding bot,ai-assisted,https://github.com/marketplace/saldor-ai,2025-10-22T05:40:40.586607
LeetBot-V2,Leetbot is a friendly ai assistant helpful for practicing DSA and helps to upload user code directly to github,ai-assisted,https://github.com/marketplace/leetbot-v2,2025-10-22T05:40:40.677001
